Year,LocationAbbr,LocationDesc,Have_HC_coverage,Type,HS,Region
2020,AL,Alabama,171066,Vision,64.5,South
2020,AK,Alaska,17033,Vision,73.4,West
2020,AZ,Arizona,208649,Vision,61.8,West
2020,AR,Arkansas,128956,Vision,64.3,South
2020,CA,California,1105945,Vision,53.6,West
2020,CO,Colorado,121322,Vision,61.2,West
2020,CT,Connecticut,91439,Vision,64.5,Northeast
2020,DE,Delaware,33242,Vision,63.1,Northeast
2020,DC,District of Columbia,23705,Vision,56.3,Northeast
2020,FL,Florida,641463,Vision,67.2,South
2020,GA,Georgia,310183,Vision,68.8,South
2020,HI,Hawaii,42623,Vision,59.3,West
2020,ID,Idaho,61668,Vision,65.4,West
2020,IL,Illinois,420034,Vision,58.2,Midwest
2020,IN,Indiana,219419,Vision,62.8,Midwest
2020,IA,Iowa,59981,Vision,68.1,Midwest
2020,KS,Kansas,84244,Vision,60.3,Midwest
2020,KY,Kentucky,217003,Vision,61.5,South
2020,LA,Louisiana,231229,Vision,55.1,South
2020,ME,Maine,43431,Vision,69.2,Northeast
2020,MD,Maryland,123422,Vision,54.1,Northeast
2020,MA,Massachusetts,191132,Vision,52,Northeast
2020,MI,Michigan,268130,Vision,64.2,Midwest
2020,MN,Minnesota,115579,Vision,57.5,Midwest
2020,MS,Mississippi,136747,Vision,64,South
2020,MO,Missouri,179796,Vision,65.3,South
2020,MT,Montana,33537,Vision,70.8,West
2020,NE,Nebraska,40756,Vision,61.8,Midwest
2020,NV,Nevada,141515,Vision,69.3,West
2020,NH,New Hampshire,36338,Vision,56.4,Northeast
2020,NJ,New Jersey,238217,Vision,58.4,Northeast
2020,NM,New Mexico,77436,Vision,58.1,West
2020,NY,New York,522290,Vision,58.5,Northeast
2020,NC,North Carolina,427607,Vision,65.4,South
2020,ND,North Dakota,18657,Vision,67.1,Midwest
2020,OH,Ohio,355367,Vision,58.6,Midwest
2020,OK,Oklahoma,176274,Vision,66.7,South
2020,OR,Oregon,143654,Vision,65.8,West
2020,PA,Pennsylvania,345869,Vision,65.9,Northeast
2020,RI,Rhode Island,35792,Vision,71.2,Northeast
2020,SC,South Carolina,249161,Vision,61.4,South
